Rank Based on Total Shipped,Game Name,Publisher,Developer,VGChartz Score,Critic Score,User Score,Total Shipped,Total Sales,NA Sales,PAL Sales,Japan Sales,Other Sales,Release Date,Last Update
247,Dragon Ball Xenoverse,Bandai Namco Games,Dimps Corporation,,,,15.49m,,,,,,24th Feb 15,13th Feb 20
248,Ring Fit Adventure,Nintendo,Nintendo EPD,,,,15.38m,,,,,,18th Oct 19,18th Oct 19
249,Call of Duty: Black Ops 3,Activision,Treyarch,,8.1,,,15.09m,6.18m,6.05m,0.41m,2.44m,06th Nov 15,14th Jan 18
250,"Pokémon: Let's Go, Pikachu/Eevee",Nintendo,Game Freak,8,,,15.07m,,,,,,16th Nov 18,31st Jan 19
251,Pokémon Brilliant Diamond / Shining Pearl,Nintendo,Game Freak,2.5,,,15.06m,,,,,,19th Nov 21,26th Feb 21
252,Counter-Strike: Source,VU Games,Valve Software,,9.3,,15.00m,,,,,,16th Nov 04,
253,Assassin's Creed IV: Black Flag,Ubisoft,Ubisoft Montreal,,,,15.00m,,,,,,29th Oct 13,21st Oct 20
254,Backyard Sports,Humongous Entertainment,Humongous Entertainment,,,,15.00m,,,,,,01st Jan 97,03rd Mar 20
255,Barbie,Hi Tech Expressions,Imagineering,,,,15.00m,,,,,,01st Dec 91,14th Mar 20
256,Battlefield 3,Electronic Arts,EA DICE,,8.6,,15.00m,,,,,,25th Oct 11,23rd Oct 20
257,Burnout,EA Sports,Criterion Games,,,,15.00m,,,,,,01st Nov 01,23rd Feb 20
258,Famista,Namco,Namco,,,,15.00m,,,,,,10th Dec 86,22nd Feb 20
259,Gex,BMG Interactive Entertainment,Crystal Dynamics,,,,15.00m,,,,,,01st Apr 95,01st Mar 20
260,God of War: Ragnarök,Sony Interactive Entertainment,Sony Computer Entertainment,,,,15.00m,,,,,,09th Nov 22,23rd Nov 22
261,Just Cause,Eidos Interactive,Avalanche Studios,,,,15.00m,,,,,,27th Sep 06,11th Feb 20
262,Mario & Sonic at the Olympic Games,Sega,Sega Sports R&D,,,,15.00m,,,,,,06th Nov 07,09th Nov 20
263,Mortal Kombat 11,Warner Bros. Interactive Entertainment,NetherRealm Studios,,8.4,,15.00m,,,,,,23rd Apr 19,28th Oct 20
264,Need for Speed: Underground,Electronic Arts,EA Black Box,,,,15.00m,,,,,,17th Nov 03,20th Oct 20
265,Palworld,Pocketpair,Pocketpair,,,,15.00m,,,,,,19th Jan 24,19th Jan 24
266,Palworld,Pocketpair,Pocketpair,,,,15.00m,,,,,,19th Jan 24,19th Jan 24
267,Red Dead Redemption,Rockstar Games,Rockstar San Diego,,,,15.00m,,,,,,18th May 10,30th Oct 20
268,Sonic the Hedgehog,Sega,Sonic Team,,,,15.00m,,,,,,23rd Jun 91,
269,Theme Park,Bullfrog Productions,Bullfrog Productions,,,,15.00m,,,,,,01st Jun 94,26th Sep 22
270,Gran Turismo 3: A-Spec,Sony Computer Entertainment,Polyphony Digital,,9.3,,14.89m,,,,,,09th Jul 01,
271,Brain Age 2: More Training in Minutes a Day,Nintendo,Nintendo SDD,,8,,14.88m,,,,,,20th Aug 07,
272,Pokémon Legends: Arceus,Nintendo,Game Freak,8,,,14.83m,,,,,,28th Jan 22,26th Feb 21
273,Call of Duty: Modern Warfare 3,Activision,Infinity Ward,,8.7,,,14.82m,9.07m,4.29m,0.13m,1.33m,08th Nov 11,
274,Call of Duty: Black Ops,Activision,Treyarch,,8.8,,,14.74m,9.76m,3.73m,0.11m,1.14m,09th Nov 10,
275,Pokémon Yellow: Special Pikachu Edition,Nintendo,Game Freak,,8.7,,14.64m,,,,,,19th Oct 99,
276,Pokémon Omega Ruby/Pokémon Alpha Sapphire,Nintendo,Game Freak,,,,14.60m,,,,,,21st Nov 14,03rd Aug 18
277,FIFA 13,EA Sports,EA Canada,,8.6,,14.50m,,,,,,25th Sep 12,15th Oct 20
278,Grand Theft Auto III,Rockstar Games,Rockstar North,,9.8,,14.50m,,,,,,22nd Oct 01,14th Oct 20
279,Halo 3,Microsoft Game Studios,Bungie Studios,8.8,9.6,9.5,14.50m,,,,,,25th Sep 07,11th Oct 18
280,Lego Batman,Warner Bros. Interactive Entertainment,TT Fusion,,,,14.40m,,,,,,23rd Sep 08,20th Jul 21
281,Marvel's Spider-Man: Miles Morales,Sony Interactive Entertainment,Insomniac Games,,8.7,,14.40m,,,,,,12th Nov 20,03rd Feb 21
282,Resident Evil 5,Capcom,Capcom,,8.4,,14.40m,,,,,,13th Mar 09,11th Oct 20
283,Monster Hunter Rise,Capcom,Capcom,,,,14.20m,,,,,,26th Mar 21,18th Jan 22
284,Everybody's Golf,Sony Interactive Entertainment,Camelot Software,,,,14.19m,,,,,,30th Apr 98,09th Mar 20
285,Final Fantasy VII,Sony Computer Entertainment,Square,,9,,14.10m,,,,,,07th Sep 97,09th Oct 20
286,Street Fighter II,Capcom,Capcom,,,,14.05m,,,,,,15th Feb 91,02nd Nov 22
287,Mafia,2K Games,Illusion Softworks,,,,14.00m,,,,,,29th Aug 02,06th Nov 20
288,NBA 2K20,2K Sports,Visual Concepts,,6.9,,14.00m,,,,,,06th Sep 19,22nd Oct 20
289,Star Wars Battlefront (2015),Electronic Arts,EA DICE,,7.1,,14.00m,,,,,,17th Nov 15,31st Oct 20
290,Yo-kai Watch,Nintendo,Level 5,,,,14.00m,,,,,,06th Nov 15,16th Feb 20
291,Luigi's Mansion 3,Nintendo,"Next Level Games, Inc.",6,,,13.98m,,,,,,31st Oct 19,03rd Aug 20
292,Portal,Valve,Valve,,9,,13.97m,,,,,,10th Oct 07,09th Nov 20
293,Red Dead Redemption 2,Rockstar Games,Rockstar Games,8,9.8,,,13.94m,5.26m,6.21m,0.21m,2.26m,26th Oct 18,02nd Nov 18
294,Call of Duty: Black Ops II,Activision,Treyarch,8.9,8.4,,,13.86m,8.27m,4.32m,0.07m,1.20m,13th Nov 12,07th Apr 18
295,Call of Duty: Black Ops II,Activision,Treyarch,,8,,,13.80m,4.99m,5.88m,0.65m,2.28m,13th Nov 12,07th Apr 18
296,Resident Evil 2 (2019),Capcom,Capcom,,,,13.60m,,,,,,25th Jan 19,11th Oct 20
297,Splatoon 2,Nintendo,Nintendo EPD,,8.2,,13.60m,,,,,,21st Jul 17,19th Nov 18
298,Call of Duty: Modern Warfare 2,Activision,Infinity Ward,9,9.5,9,,13.53m,8.54m,3.63m,0.08m,1.28m,10th Nov 09,
299,Guild Wars,NCSoft,ArenaNet,,,,13.50m,,,,,,26th Apr 05,19th Feb 20
300,Paper Mario,Nintendo,Intelligent Systems,,,,13.47m,,,,,,05th Feb 01,21st Feb 20
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
