Rank Based on Total Shipped,Game Name,Publisher,Developer,VGChartz Score,Critic Score,User Score,Total Shipped,Total Sales,NA Sales,PAL Sales,Japan Sales,Other Sales,Release Date,Last Update
142,Cyberpunk 2077,CD Projekt Red Studio,CD Projekt Red Studio,,8.9,,25.00m,,,,,,10th Dec 20,02nd Oct 22
143,Fallout 4,Bethesda Softworks,Bethesda Game Studios,,8.8,,25.00m,,,,,,10th Nov 15,30th Oct 20
144,Grand Theft Auto IV,Rockstar Games,Rockstar North,,10,,25.00m,,,,,,02nd Dec 08,13th Oct 20
145,Human: Fall Flat,Curve Digital,No Brakes Games,,,,25.00m,,,,,,22nd Jul 16,11th Feb 21
146,Puyo Puyo,Sega,Compile,,,,25.00m,,,,,,11th Feb 02,07th Feb 20
147,Tiger Woods PGA Tour,EA Sports,EA Redwood Shores,,,,25.00m,,,,,,31st Aug 98,24th Feb 20
148,Batman: Arkham,Warner Bros. Interactive Entertainment,Rocksteady Studios,,,,24.81m,,,,,,25th Aug 09,12th Mar 20
149,Naruto: Ultimate Ninja Storm,Namco Bandai Games,CyberConnect2,,,,24.38m,,,,,,04th Nov 08,17th Oct 20
150,Pokémon Scarlet / Violet,Nintendo,Game Freak,7,,,24.36m,,,,,,18th Nov 22,31st May 22
151,Hogwarts Legacy,Warner Bros. Interactive Entertainment,Avalanche Software,,7.6,,24.00m,,,,,,10th Feb 23,23rd Feb 23
152,Kinect Adventures!,Microsoft Game Studios,Good Science Studio,6.2,6.7,,24.00m,,,,,,04th Nov 10,29th Sep 18
153,Petz,PF.Magic,PF Magic,,,,24.00m,,,,,,01st Jan 95,10th Feb 20
154,Nintendogs,Nintendo,Nintendo EAD,,8.4,,23.96m,,,,,,23rd Aug 05,
155,Luigi's Mansion,Nintendo,Nintendo,,,,23.79m,,,,,,18th Nov 01,20th Feb 20
156,Mario Kart DS,Nintendo,Nintendo EAD,,9.1,9.4,23.60m,,,,,,14th Nov 05,
157,God of War (2018),Sony Interactive Entertainment,SIE Santa Monica Studio,,,,23.52m,,,,,,20th Apr 18,23rd Nov 22
158,Monster Hunter: World,Capcom,Capcom,,9.1,,23.10m,,,,,,26th Jan 18,13th Oct 20
159,Pokémon Gold / Silver Version,Nintendo,Game Freak,,9.2,,23.10m,,,,,,14th Oct 00,
160,Terraria,Re-Logic,Re-Logic,,8.8,,23.00m,,,,,,16th May 11,19th Mar 18
161,Call of Duty: Modern Warfare 2,Activision,Infinity Ward,,9.7,,22.70m,,,,,,10th Nov 09,14th Oct 20
162,Marvel's Spider-Man,Sony Interactive Entertainment,Insomniac Games,8,9.1,,22.69m,,,,,,07th Sep 18,26th Sep 18
163,Wii Fit,Nintendo,Nintendo EAD,8,7.9,,22.67m,,,,,,21st May 08,
164,Persona,Atlus,Atlus,,,,22.60m,,,,,,01st Nov 96,03rd Feb 20
165,Teenage Mutant Ninja Turtles,Konami,Konami,,,,22.60m,,,,,,12th May 89,16th Mar 20
